Title,Size,date added to alvro,type
Doctor Who and the Eternity Clock (EU-EN).rar,791.61 MB,2017-02-14 21:02,Only VPK 
Doctor Who The Eternity Clock [PCSB00045] (v01.00) .rar,791.61 MB,2017-02-16 10:02,Only VPK 
Dokuro [PCSB00215] (v01.00) .rar,163.24 MB,2017-02-17 7:02,Only VPK 
Don't Starve Giant Edition [PCSE00450] (v01.00) .rar,215.62 MB,2017-02-17 7:02,Only VPK 
Dont Starve Giant Edition.rar,212.08 MB,2017-02-11 20:02,MaiDump
Doodle Devil.rar,61.92 MB,2017-02-11 20:02,MaiDump
Doodle God [PCSE00133] (v01.00) .rar,46.23 MB,2017-02-16 10:02,Only VPK 
Doodle God.rar,47 MB,2017-02-11 20:02,MaiDump
Downwell.rar,40.57 MB,2017-02-11 21:02,MaiDump
Dragon Ball Z - Battle of Z (Europe).zip,1.42 GB,2019-01-14 12:01,VPK noIntro
Dragon Ball Z Battle of Z [PCSE00305] (v01.00) .rar,1.42 GB,2017-02-19 6:02,VPK patched
Dragon Ball Z Battle of Z [PCSE00305] (v01.00) (USA).rar,1.42 GB,2017-02-17 7:02,Only VPK 
Dragon Fantasy - Black Tome of Ice (USA).zip,86.10 MB,2019-01-14 12:01,VPK noIntro
Dragon Fin Soup [PCSB00621] (v01.00) .rar,408.61 MB,2017-02-17 7:02,Only VPK 
Dragon Fin Soup [PCSE00447] (v01.00) .rar,410.92 MB,2017-02-19 4:02,Only VPK 
Dragon Fin Soup.rar,395.14 MB,2017-02-11 22:02,MaiDump
Dragon Quest Builders (JP).rar,247.72 MB,2017-02-14 21:02,Only VPK 
Dragon Quest Builders (USA) (Day One Edition) (DLC).zip,15.72 KB,2019-01-14 12:01,PSN VPK
Dragon Quest Builders (USA) (Day One Edition).zip,267.86 MB,2019-01-14 12:01,VPK noIntro
Dragon Quest Builders [PCSG00697] (v01.03) .rar,247.71 MB,2017-02-19 6:02,VPK patched
DRAGON QUEST BUILDERS.rar,268.10 MB,2017-02-11 22:02,MaiDump
Dragon Quest Heroes II [PCSG00820] (v01.00) .rar,3.06 GB,2017-02-19 6:02,VPK patched
Dragon's Crown (Europe).zip,1.03 GB,2019-01-14 12:01,VPK noIntro
Dragon's Crown (Japan) (PSN).zip,1.39 GB,2019-01-14 12:01,PSN VPK
Dragon's Crown (US-EN).rar,947.77 MB,2017-02-14 21:02,Only VPK 
Dragon's Crown [PCSE00019] (v01.00) .rar,986.53 MB,2017-02-19 4:02,Only VPK 
Dragons Crown.rar,2.03 GB,2017-02-11 22:02,MaiDump
DRAMAtical Murder recode [PCSG00420] (v01.00) .rar,3.11 GB,2017-02-19 4:02,Only VPK 
Draw Slasher (USA) (PSN).zip,354.43 MB,2019-01-14 12:01,PSN VPK
DREAM C CLUB ZERO PORTABLE [PCSG00026] (v01.00) .rar,2.19 GB,2017-02-19 4:02,Only VPK 
Dream C Club Zero Portable.rar,2.19 GB,2017-02-11 22:02,MaiDump
Drive Girls (USA).zip,275.86 MB,2019-01-14 12:01,VPK noIntro
Duke Nukem 3D Megaton Edition (EU-EN).rar,304.03 MB,2017-02-14 21:02,Only VPK 
Duke Nukem 3D Megaton Edition.rar,605.31 MB,2017-02-11 22:02,MaiDump
"Dungeon Hunter Alliance (Europe) (En,Fr,De,Es,It,Nl).zip",546.14 MB,2019-01-14 12:01,VPK noIntro
Dungeon Hunter Alliance [PCSB00041] (v01.00) .rar,1.02 GB,2017-02-19 4:02,Only VPK 
Dungeon Hunter Alliance.rar,526.49 MB,2017-02-11 22:02,MaiDump
Dungeon Travelers 2 - The Royal Library & The Monster Seal (Europe).zip,1.76 GB,2019-01-14 12:01,VPK noIntro
Dungeon Travelers 2 The Royal Library & the Monster Seal.rar,1.75 GB,2017-02-11 22:02,MaiDump
Dungeon Travelers 2.rar,1.90 GB,2017-02-11 22:02,MaiDump
Dungeon Travelers 2The Royal Library & the Monster Seal [PCSE00693] (v01.00) .rar,1.93 GB,2017-02-19 4:02,Only VPK 
Dustforce (US-EN).rar,278.44 MB,2017-02-14 21:02,Only VPK 
Dustforce [PCSE00332] (v01.00) .rar,278.44 MB,2017-02-16 10:02,Only VPK 
Dynasty Warriors 8 - Xtreme Legends Complete Edition (USA).zip,3.26 GB,2019-01-14 12:01,VPK noIntro
DYNASTY WARRIORS 8 Xtreme Legends Complete Edition [PCSB00509] (v01.00) .rar,3.26 GB,2017-02-19 4:02,Only VPK 
Dynasty Warriors 8 Xtreme Legends.rar,3.26 GB,2017-02-11 23:02,MaiDump
Dynasty Warriors Next (Europe) (Update 1.01) (DLC).zip,4.59 MB,2019-01-14 12:01,PSN VPK
Dynasty Warriors Next (Europe).zip,1.42 GB,2019-01-14 12:01,VPK noIntro
Dynasty Warriors Next (USA) [b].zip,1.39 GB,2019-01-14 12:01,VPK noIntro
DYNASTY WARRIORS NEXT [PCSB00089] (v01.00) .rar,1.42 GB,2017-02-16 10:02,Only VPK 
EA SPORTS FIFA Football [PCSB00051] (v01.00) .rar,2.84 GB,2017-02-19 4:02,Only VPK 
Earth Defense Force 2 - Invaders From Planet Space (USA).zip,275.70 MB,2019-01-14 12:01,VPK noIntro
Earth Defense Force 2 Invaders from Planet Space [PCSE00710] (v01.00) .rar,278.45 MB,2017-02-19 4:02,Only VPK 
Earth Defense Force 2.rar,275.67 MB,2017-02-11 22:02,MaiDump
Earth Defense Force 2017 Portable [PCSB00239] (v01.00) .rar,632.74 MB,2017-02-19 4:02,Only VPK 
Earth Defense Force 3 PORTABLE [PCSG00103] (v01.00) .rar,571.35 MB,2017-02-19 4:02,Only VPK 
Eiyuu Densetsu Ao no Kiseki Evolution PCSG00246.rar,1.75 GB,2017-02-19 4:02,Only VPK 
Eiyuu Densetsu Sora no Kiseki PCSG00488 (v01.00).rar,2.47 GB,2017-02-16 10:02,Only VPK 
