Title,Size,date added to alvro,type
"0162 - Kao the Kangaroo (USA) (En,Fr,De,Es,It,Nl).zip",1.59 MB,2017-02-28 2:02,
"0163 - WWF - Road to WrestleMania (USA, Europe).zip",1.96 MB,2017-02-28 2:02,
0164 - Mega Man Battle Network (USA).zip,3.24 MB,2017-02-28 2:02,
0165 - Gadget Racers (USA).zip,3.01 MB,2017-02-28 2:02,
0166 - Gradius Advance (Europe).zip,1.93 MB,2017-02-28 2:02,
0167 - M&M's - Blast! (USA).zip,3.87 MB,2017-02-28 2:02,
"0168 - Wario Land 4 (USA, Europe).zip",3.74 MB,2017-02-28 2:02,
0169 - Hikaru no Go (Japan).zip,2.81 MB,2017-02-28 2:02,
"0170 - Golden Sun (USA, Europe).zip",6.84 MB,2017-02-28 2:02,
"0171 - Donald Duck Advance (Europe) (En,Fr,De,Es,It).zip",4.08 MB,2017-02-28 2:02,
"0172 - Harry Potter and the Sorcerer's Stone (USA, Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da).zip",5.40 MB,2017-02-28 2:02,
"0173 - Batman - Vengeance (Europe) (En,Fr,De,Es,It,Nl).zip",5.15 MB,2017-02-28 2:02,
"0174 - Jackie Chan Adventures - Legend of the Darkhand (USA, Europe).zip",2.17 MB,2017-02-28 2:02,
"0175 - Alienators - Evolution Continues (USA, Europe).zip",1.58 MB,2017-02-28 2:02,
"0176 - SpongeBob SquarePants - SuperSponge (USA, Europe).zip",1.92 MB,2017-02-28 2:02,
0177 - Jimmy Neutron Boy Genius (USA).zip,2.45 MB,2017-02-28 2:02,
"0178 - Inspector Gadget - Advance Mission (Europe) (En,Fr,De,Es,It,Nl).zip",1.63 MB,2017-02-28 2:02,
0179 - Tweety and the Magic Gems (USA).zip,1.36 MB,2017-02-28 2:02,
0180 - Star Wars - Jedi Power Battles (USA).zip,5.77 MB,2017-02-28 2:02,
0181 - Midnight Club - Street Racing (USA).zip,1.11 MB,2017-02-28 2:02,
"0182 - Mat Hoffman's Pro BMX (USA, Europe).zip",1.73 MB,2017-02-28 2:02,
0183 - Razor Freestyle Scooter (USA).zip,1.92 MB,2017-02-28 2:02,
"0184 - Super Bust-A-Move (Europe) (En,Fr,De,Es,It).zip",1.77 MB,2017-02-28 2:02,
0185 - Dokapon (USA).zip,3.04 MB,2017-02-28 2:02,
0186 - International Superstar Soccer (Europe).zip,5.26 MB,2017-02-28 2:02,
"0187 - Atlantis - The Lost Empire (Europe) (En,Fr,De,Es,It,Nl).zip",2.23 MB,2017-02-28 2:02,
0188 - Yuujou no Victory Goal 4v4 Arashi - Get the Goal!! (Japan).zip,1.62 MB,2017-02-28 2:02,
0189 - Nancy Drew - Message in a Haunted Mansion (USA).zip,2.92 MB,2017-02-28 2:02,
"0190 - Powerpuff Girls, The - Mojo Jojo A-Go-Go (USA) (En,Fr,De,Es,It,Nl).zip",1.83 MB,2017-02-28 2:02,
0191 - Madden NFL 2002 (USA).zip,1.48 MB,2017-02-28 2:02,
"0192 - Frogger's Adventures - Temple of the Frog (USA) (En,Fr,De,Es,It).zip",1.52 MB,2017-02-28 2:02,
"0193 - No Rules - Get Phat (USA, Europe) (En,Fr,De,Es,It,Nl).zip",2.90 MB,2017-02-28 2:02,
0194 - Adventure of Tokyo Disney Sea (Japan).zip,1.70 MB,2017-02-28 2:02,
"0195 - David Beckham Soccer (Europe) (En,Fr,De,Es,It).zip",790.24 KB,2017-02-28 2:02,
"0196 - Tetris Worlds (Europe) (En,Fr,De,Nl).zip",1.62 MB,2017-02-28 2:02,
"0197 - Rampage - Puzzle Attack (USA, Europe).zip",1.93 MB,2017-02-28 2:02,
"0198 - Midway's Greatest Arcade Hits (USA, Europe).zip",1.94 MB,2017-02-28 2:02,
0199 - Jurassic Park III - Island Attack (USA).zip,4.26 MB,2017-02-28 2:02,
0200 - Super Dodge Ball Advance (Europe).zip,1.20 MB,2017-02-28 2:02,
"0201 - LEGO Racers 2 (USA) (En,Fr).zip",4.73 MB,2017-02-28 2:02,
0202 - ESPN Great Outdoor Games - Bass 2002 (USA).zip,4.10 MB,2017-02-28 2:02,
"0203 - Ecks vs Sever (USA) (En,Fr,De,Es,It).zip",4.21 MB,2017-02-28 2:02,
0204 - Hot Wheels - Burnin' Rubber (USA).zip,4.30 MB,2017-02-28 2:02,
"0205 - Mech Platoon (Europe) (En,Fr,De,Es,It).zip",3.96 MB,2017-02-28 2:02,
"0206 - Phalanx (Europe) (En,Fr,De,Es,It,Nl).zip",2.09 MB,2017-02-28 2:02,
0207 - E.T. - The Extra-Terrestrial (USA).zip,2.24 MB,2017-02-28 2:02,
0208 - Dave Mirra Freestyle BMX 2 (USA).zip,2.06 MB,2017-02-28 2:02,
"0209 - Shaun Palmer's Pro Snowboarder (USA, Europe).zip",3.68 MB,2017-02-28 2:02,
0210 - Power Rangers - Time Force (Germany).zip,1.76 MB,2017-02-28 2:02,
0211 - Sangokushi (Japan).zip,2.95 MB,2017-02-28 2:02,
"0212 - Planet of the Apes (Europe) (En,Fr,De,Es,It,Nl).zip",1.64 MB,2017-02-28 2:02,
"0213 - Robot Wars - Advanced Destruction (Europe) (En,Fr,De,Es,It).zip",2.18 MB,2017-02-28 2:02,
"0214 - Cruis'n Velocity (USA, Europe).zip",1.79 MB,2017-02-28 2:02,
"0215 - Tom and Jerry - The Magic Ring (USA) (En,Fr,De,Es,It).zip",3.03 MB,2017-02-28 2:02,
0216 - Monster Rancher Advance (USA).zip,4.73 MB,2017-02-28 2:02,
0217 - International Karate Advanced (Europe).zip,1002.85 KB,2017-02-28 2:02,
0218 - Daisenryaku for Game Boy Advance (Japan).zip,3.73 MB,2017-02-28 2:02,
0219 - Gradius Galaxies (USA).zip,1.93 MB,2017-02-28 2:02,
0220 - EZ-Talk - Shokyuu Hen 1 (Japan).zip,3.08 MB,2017-02-28 2:02,
0221 - EZ-Talk - Shokyuu Hen 2 (Japan).zip,4 MB,2017-02-28 2:02,
"0222 - Army Men - Operation Green (USA) (En,Fr,De,Es,It).zip",2.10 MB,2017-02-28 2:02,
